"segId","mainAge","licenseHeld","noClaims","gender","drivers","numCars","coverType","persMiles","numClaims","numOffences","leadTime","201504-avgMonthlyEnq","201504-enqToSale","201504-enqToClick","201504-clicksPerCLicker","201504-clickToSale","201504-pctOkResults","PctCh-Enq","Ch-enqToSale","Ch-enqToClick","Ch-ClicksPerClicker","Ch-clickToSale","Ch-okResults"
9264,"3: 21-22","1: 0-4","1: 0","1","2: 2+","2: >1","1","1: 0-5k","1: 0","1: 0","2: 7-13",198,0.0126,0.1786,2.1786,0.1786,0.937,-0.5752,0.0026,0.0158,0.4111,0.0158,-0.0216
54126,"6: 31-40","3: 10-19","2: 1-4","2","2: 2+","1: 1","1","1: 0-5k","1: 0","1: 0","4: 21-27",103,0.0388,0.2581,1.7419,0.2581,0.9854,0.3795,-0.0058,0.0358,-0.547,0.0358,-0.0146
43508,"6: 31-40","1: 0-4","2: 1-4","1","2: 2+","2: >1","1","2: 5k-10k","1: 0","1: 0","1: 0-6",308,0.0715,0.4583,1.6979,0.4583,0.9951,0.217,0.0056,0.0615,-0.0878,0.0615,0.007
41884,"6: 31-40","1: 0-4","1: 0","1","2: 2+","1: 1","1","3: 10k+","1: 0","1: 0","1: 0-6",68,0.0588,0.381,1.381,0.381,0.9559,-0.1169,0.0285,0.0476,-0.381,0.0476,0.0728
51682,"6: 31-40","3: 10-19","1: 0","1","1: 1","2: >1","1","1: 0-5k","1: 0","2: 1+","1: 0-6",118,0.0633,0.3488,1.8605,0.3488,0.903,-0.1635,-0.012,-0.0276,0.0487,-0.0276,-0.0453
33319,"5: 26-30","2: 5-9","2: 1-4","2","2: 2+","1: 1","1","2: 5k-10k","2: 1+","1: 0","1: 0-6",225,0.0933,0.4719,1.6292,0.4719,0.9667,0.1678,-0.0053,-0.0031,-0.1458,-0.0031,-0.016
41517,"6: 31-40","1: 0-4","1: 0","1","1: 1","1: 1","2","1: 0-5k","1: 0","1: 0","2: 7-13",154,0.0032,0.0345,1.1724,0.0345,0.9773,-0.3901,-0.002,-0.0945,-0.3437,-0.0945,0.0234
4659,"2: 19-20","1: 0-4","1: 0","1","1: 1","1: 1","2","1: 0-5k","1: 0","1: 0","4: 21-27",41,0,0,1,0,0.7439,-0.5358,0,0,-0.4286,0,-0.0448
62590,"6: 31-40","4: 20+","4: 10+","2","2: 2+","1: 1","1","3: 10k+","1: 0","1: 0","5: 28+",52,0.0385,0.6667,1.1667,0.6667,0.9808,-0.239,0.0043,0.1667,-1.619,0.1667,0.0003
97868,"8: 51-60","4: 20+","4: 10+","1","1: 1","1: 1","1","1: 0-5k","1: 0","1: 0","4: 21-27",456,0.0494,0.2308,2.0769,0.2308,0.9923,0.2502,-0.022,-0.0488,-0.0772,-0.0488,0.0015
